6.64159,5.50946
6.65845,5.57965
5.97173,5.75538
6.186,5.51446
6.3569,6.08046
5.881,5.57588
5.82015,5.46191
6.04678,5.74577
5.72029,5.18313
6.04737,5.74591
5.77728,5.87566
6.02013,5.74722
6.27968,5.74625
6.07269,5.36961
6.03145,5.74795
6.71919,5.71761
6.12184,5.70393
6.00032,5.7531
6.27912,5.93892
6.01967,6.04428
5.91851,5.69051
6.01444,5.72693
6.29718,5.58104
6.6143,6.03567
5.97551,5.56737
6.01182,5.82584
5.62704,5.70596
6.05107,5.63429
6.07214,5.75069
5.68824,5.70203
6.12485,5.18009
5.89244,5.73777
6.25579,5.51084
5.60237,5.00154
6.26224,5.69687
6.10666,5.51701
5.97428,5.6994
6.00582,5.99535
6.04168,5.55003
6.13871,5.50423
6.1731,5.51945
6.25728,5.7946
6.063,5.66708
6.38559,5.58807
5.82176,6.30383
5.44056,5.77786
6.31297,5.78351
5.61574,6.21747
6.04973,5.74773
6.05284,5.56134
6.1791,5.92293
5.55904,6.40401
5.26559,5.09417
6.03849,5.72396
5.98634,6.199
6.03359,5.89262
6.57455,5.67754
6.14279,5.99251
5.78496,6.31434
6.45171,5.95209
6.88015,5.33535
6.56477,5.73007
5.40029,5.63888
5.97418,5.38362
6.13545,5.74733
6.28696,5.42447
6.04157,5.74191
6.03126,4.97987
6.0585,5.3331
5.96179,5.29556
6.1033,5.52628
5.98184,5.31473
6.20438,5.11694
6.00202,6.22079
6.03021,5.77991
5.15612,5.40643
6.06548,5.74376
5.9349,6.2311
6.07084,5.955
5.83728,5.63146
6.16044,5.33807
6.24452,5.84622
6.04438,5.74666
6.25709,6.60145
6.01376,5.79831
5.65148,5.57305
6.39418,5.37903
6.12799,5.37497
5.83653,6.52182
5.99808,5.96484
6.0525,5.73272
6.06738,6.01356
6.11044,5.71814
5.7544,5.68511
6.16329,5.29516
6.05927,5.72533
6.09286,5.86782
6.47354,5.7919
6.06929,5.7142
5.6292,5.59223
6.80357,6.20811
7.071,6.01463
6.04294,5.74368
6.14917,6.00946
6.11508,5.0322
6.03789,5.74474
5.5174,5.88768
5.46031,5.70429
5.69197,5.59307
6.88712,5.68754
6.04067,5.74091
6.06809,5.72101
5.88597,6.22592
6.1384,5.34167
5.76263,5.47239
5.97077,5.68196
6.01339,5.71609
6.06011,5.69426
5.93398,5.59764
5.93166,6.22725
6.09796,5.32982
7.12648,6.07541
5.85048,5.05097
5.25967,5.65687
6.60327,5.85901
6.07604,5.73951
6.04001,5.73587
5.91484,5.71087
6.13868,5.85089
6.45464,6.60478
5.38571,6.54649
5.55429,6.04551
5.9762,5.86226
5.86097,5.67445
5.45235,5.39822
6.49088,5.75733
5.99123,6.16977
5.63763,5.59454
6.17717,6.13939
6.18869,5.77243
5.67188,5.60044
6.36628,5.33309
5.60362,5.67914
5.95014,6.32844
6.05876,5.5064
6.04352,5.73425
6.00679,5.99545
5.96891,5.79476
6.14943,5.40976
6.04415,5.714
6.03698,5.73585
6.58199,5.68743
5.98759,5.82942
6.71269,5.90258
5.93317,5.34085
6.57985,4.53405
